dependency_name,dependency_type,version,license,documentation_url
"@pulumi/azure-native",javascript,^2.89.1,Apache-2.0,"https://www.pulumi.com/registry/packages/azure-native/api-docs/"
"@pulumi/command",javascript,^1.0.1,Apache-2.0,"https://www.pulumi.com/registry/packages/command/api-docs/"
"@pulumi/pulumi",javascript,^3.113.0,Apache-2.0,"https://github.com/pulumi/pulumi"
"@pulumi/tls",javascript,^5.0.3,Apache-2.0,"https://www.pulumi.com/registry/packages/tls/api-docs/"
"@pulumiverse/time",javascript,^0.1.1,Apache-2.0,"https://pypi.org/project/pulumiverse-time/"
"@selectidltd/id_token_generator",javascript,^0.0.20,,"https://github.com/SelectIDLtd/id_token_generator"
"@selectidltd/react-idp-selector",javascript,^0.0.23,,"https://github.com/SelectIDLtd/react-idp-selector"
"@selectidltd/rp-sdk-nodejs",javascript,^0.0.40,,"https://github.com/SelectIDLtd/rp-sdk-nodejs"
"@selectidltd/rp-sdk-nodejs-aws",javascript,^0.0.1,,"https://github.com/SelectIDLtd/rp-sdk-nodejs-aws"
"@selectidltd/rp-sdk-nodejs-azure",javascript,^0.0.8,,"https://github.com/SelectIDLtd/rp-sdk-nodejs-azure"
"@types/eslint__js",javascript,^8.42.3,MIT,"https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/eslint__js"
"Microsoft.NET.Test.Sdk",dotnet,17.3.2,MIT,"https://www.nuget.org/packages/Microsoft.NET.Test.Sdk"
NJsonSchema,dotnet,11.0.2,MIT,"https://njsonschema.org/"
"System.IdentityModel.Tokens.Jwt",dotnet,8.2.0,MIT,"https://github.com/AzureAD/azure-activedirectory-identitymodel-extensions-for-dotnet"
azure-functions,python,latest,MIT,"https://docs.microsoft.com/en-us/azure/azure-functions/functions-reference-python"
base32,javascript,^0.0.7,MIT,"https://github.com/agnoster/base32-js"
"com.fasterxml.jackson.core:jackson-databind",java,2.17.0,Apache-2.0,"https://github.com/FasterXML/jackson-databind"
"com.networknt:json-schema-validator",java,1.5.1,Apache-2.0,"https://github.com/networknt/json-schema-validator"
cryptography,python,latest,"Apache-2.0 and BSD-3-Clause","https://cryptography.io/"
"io.ebean:ebean-uuidv7",java,0.1,Apache-2.0,"https://github.com/ebean-orm/ebean-uuidv7"
"io.jsonwebtoken:jjwt-api",java,0.12.6,Apache-2.0,"https://github.com/jwtk/jjwt"
"io.jsonwebtoken:jjwt-impl",java,0.12.6,Apache-2.0,"https://github.com/jwtk/jjwt"
"io.jsonwebtoken:jjwt-jackson",java,0.12.6,Apache-2.0,"https://github.com/jwtk/jjwt"
jsonschema,python,latest,MIT,"https://python-jsonschema.readthedocs.io/"
"org.assertj:assertj-core",java,3.26.3,Apache-2.0,"https://assertj.github.io/doc/"
"org.junit.jupiter:junit-jupiter-api",java,5.11.0,Eclipse Public License 2.0,"https://junit.org/junit5/docs/current/api/"
"org.junit.jupiter:junit-jupiter-params",java,5.11.0,Eclipse Public License 2.0,"https://junit.org/junit5/docs/current/api/"
"org.junit:junit-bom",java,5.11.0,Eclipse Public License 2.0,"https://junit.org/junit5/"
"org.mockito:mockito-junit-jupiter",java,5.13.0,MIT,"https://site.mockito.org/"
"org.springframework.boot:spring-boot-starter-security",java,3.3.1,Apache-2.0,"https://docs.spring.io/spring-boot/docs/current/reference/html/using-spring-boot.html#using.build-systems.starters"
"org.springframework.boot:spring-boot-starter-test",java,3.3.1,Apache-2.0,"https://docs.spring.io/spring-boot/docs/current/reference/html/using-spring-boot.html#using.build-systems.starters"
"org.springframework.boot:spring-boot-starter-web",java,3.3.1,Apache-2.0,"https://docs.spring.io/spring-boot/docs/current/reference/html/using-spring-boot.html#using.build-systems.starters"
pug,javascript,^3.0.3,MIT,"https://pugjs.org/"
react-hook-form,javascript,^7.54.2,MIT,"https://www.npmjs.com/package/react-hook-form"
react-social-login-buttons,javascript,^4.1.1,ISC,"https://www.npmjs.com/package/react-social-login-buttons"
"uk.co.selectid.rpsdk:rp-sdk-java",java,0.0.21,All rights reserved,"https://www.selectid.co.uk/"
usehooks-ts,javascript,^3.1.1,MIT,"https://www.npmjs.com/package/usehooks-ts"
uuid_v7,python,latest,Unlicense,"https://github.com/nalgeon/uuidv7"
xunit,dotnet,2.4.2,Apache-2.0,"https://xunit.net/"
"xunit.runner.visualstudio",dotnet,2.4.5,Apache-2.0,"https://xunit.net/"
